
Test at 4/21/2015 1:47:07 PM,

Client Num:, 13, X: ,844, Y: ,348,Time: ,2015-04-21 17:20:33.516
Client Num: ,13, X_Received: ,423, Y_Received: ,985,Time: ,2015-04-21 17:20:33.516
Client Num:, 13, X: ,320, Y: ,379,Time: ,2015-04-21 17:20:33.616
Client Num: ,13, X_Received: ,423, Y_Received: ,985,Time: ,2015-04-21 17:20:33.616
Client Num:, 13, X: ,140, Y: ,383,Time: ,2015-04-21 17:20:33.716
Client Num: ,13, X_Received: ,423, Y_Received: ,985,Time: ,2015-04-21 17:20:33.716
Client Num:, 13, X: ,19, Y: ,326,Time: ,2015-04-21 17:20:33.815
Client Num: ,13, X_Received: ,423, Y_Received: ,985,Time: ,2015-04-21 17:20:33.815
Client Num:, 13, X: ,45, Y: ,335,Time: ,2015-04-21 17:20:33.915
Client Num: ,13, X_Received: ,423, Y_Received: ,985,Time: ,2015-04-21 17:20:33.915
Client Num:, 13, X: ,247, Y: ,624,Time: ,2015-04-21 17:20:34.016
Client Num: ,13, X_Received: ,423, Y_Received: ,985,Time: ,2015-04-21 17:20:34.016
Client Num:, 13, X: ,251, Y: ,623,Time: ,2015-04-21 17:20:34.116
Client Num: ,13, X_Received: ,423, Y_Received: ,985,Time: ,2015-04-21 17:20:34.116
Client Num:, 13, X: ,912, Y: ,371,Time: ,2015-04-21 17:20:34.215
Client Num: ,13, X_Received: ,423, Y_Received: ,985,Time: ,2015-04-21 17:20:34.215
Client Num:, 13, X: ,940, Y: ,363,Time: ,2015-04-21 17:20:34.315
Client Num: ,13, X_Received: ,423, Y_Received: ,985,Time: ,2015-04-21 17:20:34.315
Client Num:, 13, X: ,933, Y: ,363,Time: ,2015-04-21 17:20:34.416
Client Num: ,13, X_Received: ,423, Y_Received: ,985,Time: ,2015-04-21 17:20:34.416
Client Num:, 13, X: ,1223, Y: ,349,Time: ,2015-04-21 17:20:34.515
Client Num: ,13, X_Received: ,423, Y_Received: ,985,Time: ,2015-04-21 17:20:34.515
Client Num:, 13, X: ,1222, Y: ,359,Time: ,2015-04-21 17:20:34.615
Client Num: ,13, X_Received: ,423, Y_Received: ,985,Time: ,2015-04-21 17:20:34.615
Client Num:, 13, X: ,1429, Y: ,366,Time: ,2015-04-21 17:20:34.715
Client Num: ,13, X_Received: ,423, Y_Received: ,985,Time: ,2015-04-21 17:20:34.715
Client Num:, 13, X: ,1411, Y: ,363,Time: ,2015-04-21 17:20:34.815
Client Num: ,13, X_Received: ,423, Y_Received: ,985,Time: ,2015-04-21 17:20:34.815
Client Num:, 13, X: ,1154, Y: ,341,Time: ,2015-04-21 17:20:34.915
Client Num: ,13, X_Received: ,423, Y_Received: ,985,Time: ,2015-04-21 17:20:34.915
Client Num:, 13, X: ,1157, Y: ,344,Time: ,2015-04-21 17:20:35.014
Client Num: ,13, X_Received: ,423, Y_Received: ,985,Time: ,2015-04-21 17:20:35.014
Client Num:, 13, X: ,1159, Y: ,346,Time: ,2015-04-21 17:20:35.114
Client Num: ,13, X_Received: ,423, Y_Received: ,985,Time: ,2015-04-21 17:20:35.114
Client Num:, 13, X: ,1174, Y: ,351,Time: ,2015-04-21 17:20:35.215
Client Num: ,13, X_Received: ,423, Y_Received: ,985,Time: ,2015-04-21 17:20:35.215
Client Num:, 13, X: ,1201, Y: ,356,Time: ,2015-04-21 17:20:35.315
Client Num: ,13, X_Received: ,423, Y_Received: ,985,Time: ,2015-04-21 17:20:35.315
Client Num:, 13, X: ,1218, Y: ,360,Time: ,2015-04-21 17:20:35.414
Client Num: ,13, X_Received: ,423, Y_Received: ,985,Time: ,2015-04-21 17:20:35.414
Client Num:, 13, X: ,1435, Y: ,379,Time: ,2015-04-21 17:20:35.514
Client Num: ,13, X_Received: ,423, Y_Received: ,985,Time: ,2015-04-21 17:20:35.514
Client Num:, 13, X: ,1426, Y: ,383,Time: ,2015-04-21 17:20:35.614
Client Num: ,13, X_Received: ,423, Y_Received: ,985,Time: ,2015-04-21 17:20:35.614
Client Num:, 13, X: ,1455, Y: ,387,Time: ,2015-04-21 17:20:35.714
Client Num: ,13, X_Received: ,423, Y_Received: ,985,Time: ,2015-04-21 17:20:35.714
Client Num:, 13, X: ,229, Y: ,591,Time: ,2015-04-21 17:20:35.948
Client Num: ,13, X_Received: ,423, Y_Received: ,985,Time: ,2015-04-21 17:20:35.948
Client Num:, 13, X: ,307, Y: ,349,Time: ,2015-04-21 17:20:36.047
Client Num: ,13, X_Received: ,423, Y_Received: ,985,Time: ,2015-04-21 17:20:36.047
Client Num:, 13, X: ,270, Y: ,414,Time: ,2015-04-21 17:20:36.147
Client Num: ,13, X_Received: ,423, Y_Received: ,985,Time: ,2015-04-21 17:20:36.147
Client Num:, 13, X: ,228, Y: ,417,Time: ,2015-04-21 17:20:36.247
Client Num: ,13, X_Received: ,423, Y_Received: ,985,Time: ,2015-04-21 17:20:36.247
Client Num:, 13, X: ,227, Y: ,413,Time: ,2015-04-21 17:20:36.347
Client Num: ,13, X_Received: ,423, Y_Received: ,985,Time: ,2015-04-21 17:20:36.347
Client Num:, 13, X: ,296, Y: ,142,Time: ,2015-04-21 17:20:36.447
Client Num: ,13, X_Received: ,423, Y_Received: ,985,Time: ,2015-04-21 17:20:36.447
Client Num:, 13, X: ,320, Y: ,165,Time: ,2015-04-21 17:20:36.547
