Test at 4/14/2015 9:18:27 AM,

Client Num:, 1, X: ,153, Y: ,332,Time: ,2015-04-14 10:28:31.995
Client Num:, 1, X: ,153, Y: ,335,Time: ,2015-04-14 10:28:32.095
Client Num:, 1, X: ,153, Y: ,335,Time: ,2015-04-14 10:28:32.194
Client Num:, 1, X: ,362, Y: ,326,Time: ,2015-04-14 10:28:32.295
Client Num:, 1, X: ,526, Y: ,167,Time: ,2015-04-14 10:28:32.395
Client Num:, 1, X: ,647, Y: ,266,Time: ,2015-04-14 10:28:32.494
Client Num:, 1, X: ,678, Y: ,299,Time: ,2015-04-14 10:28:32.594
Client Num:, 1, X: ,190, Y: ,259,Time: ,2015-04-14 10:28:32.695
Client Num:, 1, X: ,830, Y: ,25,Time: ,2015-04-14 10:28:32.795
Client Num:, 1, X: ,201, Y: ,213,Time: ,2015-04-14 10:28:32.894
Client Num:, 1, X: ,183, Y: ,216,Time: ,2015-04-14 10:28:32.994
Client Num:, 1, X: ,170, Y: ,209,Time: ,2015-04-14 10:28:33.094
Client Num:, 1, X: ,92, Y: ,61,Time: ,2015-04-14 10:28:33.194
Client Num:, 1, X: ,78, Y: ,62,Time: ,2015-04-14 10:28:33.293
Client Num:, 1, X: ,75, Y: ,69,Time: ,2015-04-14 10:28:33.393
Client Num:, 1, X: ,77, Y: ,72,Time: ,2015-04-14 10:28:33.494
Client Num:, 1, X: ,89, Y: ,85,Time: ,2015-04-14 10:28:33.594
Client Num:, 1, X: ,1564, Y: ,878,Time: ,2015-04-14 10:28:33.960
Client Num:, 1, X: ,1303, Y: ,432,Time: ,2015-04-14 10:28:34.093
Client Num:, 1, X: ,576, Y: ,247,Time: ,2015-04-14 10:28:34.193
Client Num:, 1, X: ,586, Y: ,248,Time: ,2015-04-14 10:28:34.294
Client Num:, 1, X: ,174, Y: ,191,Time: ,2015-04-14 10:28:34.392
Client Num:, 1, X: ,151, Y: ,169,Time: ,2015-04-14 10:28:34.493
Client Num:, 1, X: ,-17, Y: ,67,Time: ,2015-04-14 10:28:34.592
Client Num:, 1, X: ,107, Y: ,141,Time: ,2015-04-14 10:28:34.692
Client Num:, 1, X: ,93, Y: ,125,Time: ,2015-04-14 10:28:34.794
Client Num:, 1, X: ,99, Y: ,119,Time: ,2015-04-14 10:28:34.893
Client Num:, 1, X: ,96, Y: ,116,Time: ,2015-04-14 10:28:34.993
Client Num:, 1, X: ,95, Y: ,113,Time: ,2015-04-14 10:28:35.093
Client Num:, 1, X: ,94, Y: ,110,Time: ,2015-04-14 10:28:35.193
Client Num:, 1, X: ,91, Y: ,102,Time: ,2015-04-14 10:28:35.293
Client Num:, 1, X: ,90, Y: ,99,Time: ,2015-04-14 10:28:35.394
Client Num:, 1, X: ,87, Y: ,94,Time: ,2015-04-14 10:28:35.492
Client Num:, 1, X: ,83, Y: ,92,Time: ,2015-04-14 10:28:35.593
Client Num:, 1, X: ,85, Y: ,90,Time: ,2015-04-14 10:28:35.692
Client Num:, 1, X: ,91, Y: ,96,Time: ,2015-04-14 10:28:35.793
Client Num:, 1, X: ,91, Y: ,96,Time: ,2015-04-14 10:28:35.892
Client Num:, 1, X: ,54, Y: ,68,Time: ,2015-04-14 10:28:35.991
Client Num:, 1, X: ,38, Y: ,28,Time: ,2015-04-14 10:28:36.092
Client Num:, 1, X: ,47, Y: ,37,Time: ,2015-04-14 10:28:36.192
Client Num:, 1, X: ,54, Y: ,47,Time: ,2015-04-14 10:28:36.292
Client Num:, 1, X: ,65, Y: ,60,Time: ,2015-04-14 10:28:36.391
Client Num:, 1, X: ,69, Y: ,64,Time: ,2015-04-14 10:28:36.491
Client Num:, 1, X: ,69, Y: ,66,Time: ,2015-04-14 10:28:36.591
Client Num:, 1, X: ,1033, Y: ,384,Time: ,2015-04-14 10:28:36.891
Client Num:, 1, X: ,1165, Y: ,543,Time: ,2015-04-14 10:28:36.990
Client Num:, 1, X: ,1247, Y: ,566,Time: ,2015-04-14 10:28:37.090
Client Num:, 1, X: ,887, Y: ,570,Time: ,2015-04-14 10:28:37.191
Client Num:, 1, X: ,784, Y: ,537,Time: ,2015-04-14 10:28:37.290
Client Num:, 1, X: ,605, Y: ,460,Time: ,2015-04-14 10:28:37.390
Client Num:, 1, X: ,564, Y: ,511,Time: ,2015-04-14 10:28:37.490
Client Num:, 1, X: ,522, Y: ,444,Time: ,2015-04-14 10:28:37.591
Client Num:, 1, X: ,514, Y: ,427,Time: ,2015-04-14 10:28:37.690
Client Num:, 1, X: ,523, Y: ,426,Time: ,2015-04-14 10:28:37.790
Client Num:, 1, X: ,528, Y: ,435,Time: ,2015-04-14 10:28:37.890
Client Num:, 1, X: ,529, Y: ,439,Time: ,2015-04-14 10:28:37.990
Client Num:, 1, X: ,823, Y: ,643,Time: ,2015-04-14 10:28:38.090
Client Num:, 1, X: ,784, Y: ,687,Time: ,2015-04-14 10:28:38.191
Client Num:, 1, X: ,777, Y: ,692,Time: ,2015-04-14 10:28:38.289
Client Num:, 1, X: ,786, Y: ,710,Time: ,2015-04-14 10:28:38.389
Client Num:, 1, X: ,813, Y: ,710,Time: ,2015-04-14 10:28:38.489
Client Num:, 1, X: ,876, Y: ,718,Time: ,2015-04-14 10:28:38.590
Client Num:, 1, X: ,746, Y: ,803,Time: ,2015-04-14 10:28:38.690
Client Num:, 1, X: ,578, Y: ,858,Time: ,2015-04-14 10:28:38.790
Client Num:, 1, X: ,570, Y: ,862,Time: ,2015-04-14 10:28:38.889
Client Num:, 1, X: ,578, Y: ,848,Time: ,2015-04-14 10:28:38.989
