
Test at 4/14/2015 12:36:21 PM,

Client Num:, 3, X: ,110, Y: ,488,Time: ,2015-04-14 12:48:53.757
Client Num: ,3, X_Received: ,71, Y_Received: ,309,Time: ,2015-04-14 12:48:53.757
Client Num:, 3, X: ,-2, Y: ,345,Time: ,2015-04-14 12:48:53.821
Client Num: ,3, X_Received: ,71, Y_Received: ,309,Time: ,2015-04-14 12:48:53.821
Client Num:, 3, X: ,8, Y: ,324,Time: ,2015-04-14 12:48:53.923
Client Num: ,3, X_Received: ,78, Y_Received: ,294,Time: ,2015-04-14 12:48:53.923
Client Num:, 3, X: ,10, Y: ,321,Time: ,2015-04-14 12:48:54.023
Client Num: ,3, X_Received: ,101, Y_Received: ,114,Time: ,2015-04-14 12:48:54.023
Client Num:, 3, X: ,28, Y: ,316,Time: ,2015-04-14 12:48:54.355
Client Num: ,3, X_Received: ,184, Y_Received: ,265,Time: ,2015-04-14 12:48:54.355
Client Num:, 3, X: ,1350, Y: ,168,Time: ,2015-04-14 12:48:54.489
Client Num: ,3, X_Received: ,187, Y_Received: ,275,Time: ,2015-04-14 12:48:54.489
Client Num:, 3, X: ,1343, Y: ,178,Time: ,2015-04-14 12:48:54.588
Client Num: ,3, X_Received: ,213, Y_Received: ,266,Time: ,2015-04-14 12:48:54.588
Client Num:, 3, X: ,1326, Y: ,219,Time: ,2015-04-14 12:48:54.687
Client Num: ,3, X_Received: ,810, Y_Received: ,155,Time: ,2015-04-14 12:48:54.687
Client Num:, 3, X: ,466, Y: ,325,Time: ,2015-04-14 12:48:54.789
Client Num: ,3, X_Received: ,802, Y_Received: ,159,Time: ,2015-04-14 12:48:54.789
Client Num:, 3, X: ,-1493, Y: ,878,Time: ,2015-04-14 12:48:54.955
Client Num: ,3, X_Received: ,801, Y_Received: ,148,Time: ,2015-04-14 12:48:54.955
Client Num:, 3, X: ,-1017, Y: ,868,Time: ,2015-04-14 12:48:55.387
Client Num: ,3, X_Received: ,772, Y_Received: ,518,Time: ,2015-04-14 12:48:55.387
