
Test at 4/14/2015 4:26:52 PM,

Client Num:, 5, X: ,-9, Y: ,276,Time: ,2015-04-14 16:27:10.931
Client Num:, 5, X: ,-9, Y: ,270,Time: ,2015-04-14 16:27:11.032
Client Num:, 5, X: ,-7, Y: ,272,Time: ,2015-04-14 16:27:11.131
Client Num:, 5, X: ,-3, Y: ,273,Time: ,2015-04-14 16:27:11.231
Client Num:, 5, X: ,821, Y: ,320,Time: ,2015-04-14 16:27:11.331
Client Num:, 5, X: ,837, Y: ,311,Time: ,2015-04-14 16:27:11.430
Client Num:, 5, X: ,917, Y: ,243,Time: ,2015-04-14 16:27:11.530
Client Num:, 5, X: ,897, Y: ,244,Time: ,2015-04-14 16:27:11.631
Client Num:, 5, X: ,892, Y: ,241,Time: ,2015-04-14 16:27:11.729
Client Num:, 5, X: ,870, Y: ,242,Time: ,2015-04-14 16:27:11.831
Client Num:, 5, X: ,853, Y: ,243,Time: ,2015-04-14 16:27:11.931
Client Num:, 5, X: ,97, Y: ,280,Time: ,2015-04-14 16:27:12.130
Client Num:, 5, X: ,107, Y: ,297,Time: ,2015-04-14 16:27:12.230
Client Num:, 5, X: ,101, Y: ,820,Time: ,2015-04-14 16:27:12.331
Client Num:, 5, X: ,97, Y: ,823,Time: ,2015-04-14 16:27:12.430
Client Num:, 5, X: ,335, Y: ,892,Time: ,2015-04-14 16:27:12.532
Client Num:, 5, X: ,498, Y: ,892,Time: ,2015-04-14 16:27:12.631
Client Num:, 5, X: ,683, Y: ,869,Time: ,2015-04-14 16:27:12.731
Client Num:, 5, X: ,1108, Y: ,855,Time: ,2015-04-14 16:27:12.829
Client Num:, 5, X: ,1440, Y: ,849,Time: ,2015-04-14 16:27:12.929
Client Num:, 5, X: ,1091, Y: ,598,Time: ,2015-04-14 16:27:13.029
Client Num:, 5, X: ,443, Y: ,210,Time: ,2015-04-14 16:27:13.129
Client Num:, 5, X: ,430, Y: ,210,Time: ,2015-04-14 16:27:13.228
Client Num:, 5, X: ,417, Y: ,208,Time: ,2015-04-14 16:27:13.328
Client Num:, 5, X: ,230, Y: ,225,Time: ,2015-04-14 16:27:13.434
Client Num:, 5, X: ,229, Y: ,222,Time: ,2015-04-14 16:27:13.529
Client Num:, 5, X: ,566, Y: ,183,Time: ,2015-04-14 16:27:13.695
Client Num:, 5, X: ,577, Y: ,205,Time: ,2015-04-14 16:27:13.796
Client Num:, 5, X: ,583, Y: ,198,Time: ,2015-04-14 16:27:13.895
Client Num:, 5, X: ,529, Y: ,176,Time: ,2015-04-14 16:27:13.994
Client Num:, 5, X: ,398, Y: ,167,Time: ,2015-04-14 16:27:14.095
