
Test at 4/16/2015 10:36:10 AM,

Client Num:, 7, X: ,712, Y: ,671,Time: ,2015-04-16 10:37:14.731
Client Num: ,7, X_Received: ,200, Y_Received: ,526,Time: ,2015-04-16 10:37:14.731
Client Num:, 7, X: ,663, Y: ,542,Time: ,2015-04-16 10:37:14.831
Client Num: ,7, X_Received: ,200, Y_Received: ,526,Time: ,2015-04-16 10:37:14.831
Client Num:, 7, X: ,563, Y: ,406,Time: ,2015-04-16 10:37:14.931
Client Num: ,7, X_Received: ,200, Y_Received: ,526,Time: ,2015-04-16 10:37:14.931
Client Num:, 7, X: ,603, Y: ,435,Time: ,2015-04-16 10:37:15.031
Client Num: ,7, X_Received: ,200, Y_Received: ,526,Time: ,2015-04-16 10:37:15.031
Client Num:, 7, X: ,601, Y: ,458,Time: ,2015-04-16 10:37:15.131
Client Num: ,7, X_Received: ,200, Y_Received: ,526,Time: ,2015-04-16 10:37:15.131
Client Num:, 7, X: ,586, Y: ,457,Time: ,2015-04-16 10:37:15.231
Client Num: ,7, X_Received: ,200, Y_Received: ,526,Time: ,2015-04-16 10:37:15.231
Client Num:, 7, X: ,2517, Y: ,-641,Time: ,2015-04-16 10:37:15.364
Client Num: ,7, X_Received: ,611, Y_Received: ,516,Time: ,2015-04-16 10:37:15.364
Client Num:, 7, X: ,536, Y: ,94,Time: ,2015-04-16 10:37:15.530
Client Num: ,7, X_Received: ,697, Y_Received: ,1103,Time: ,2015-04-16 10:37:15.530
Client Num:, 7, X: ,603, Y: ,174,Time: ,2015-04-16 10:37:15.631
Client Num: ,7, X_Received: ,685, Y_Received: ,1111,Time: ,2015-04-16 10:37:15.631
Client Num:, 7, X: ,586, Y: ,343,Time: ,2015-04-16 10:37:15.731
Client Num: ,7, X_Received: ,747, Y_Received: ,1134,Time: ,2015-04-16 10:37:15.731
Client Num:, 7, X: ,583, Y: ,313,Time: ,2015-04-16 10:37:15.830
Client Num: ,7, X_Received: ,590, Y_Received: ,1126,Time: ,2015-04-16 10:37:15.830
Client Num:, 7, X: ,579, Y: ,292,Time: ,2015-04-16 10:37:15.930
