Test at 4/30/2015 10:52:05 AM,

Client Num:, 15, X: ,-5799, Y: ,-53001,Time: ,2015-04-30 11:38:00.462
Client Num: ,15, X_Received: ,2552, Y_Received: ,998,Time: ,2015-04-30 11:38:00.462
Client Num:, 15, X: ,-3457, Y: ,-34542,Time: ,2015-04-30 11:38:02.929
Client Num: ,15, X_Received: ,1964, Y_Received: ,966,Time: ,2015-04-30 11:38:02.929
Client Num:, 15, X: ,1003, Y: ,358,Time: ,2015-04-30 11:38:03.130
Client Num: ,15, X_Received: ,1964, Y_Received: ,966,Time: ,2015-04-30 11:38:03.130
Client Num:, 15, X: ,1237, Y: ,134,Time: ,2015-04-30 11:38:03.261
Client Num: ,15, X_Received: ,1964, Y_Received: ,966,Time: ,2015-04-30 11:38:03.261
Client Num:, 15, X: ,855, Y: ,486,Time: ,2015-04-30 11:38:03.395
Client Num: ,15, X_Received: ,1964, Y_Received: ,966,Time: ,2015-04-30 11:38:03.395
Client Num:, 15, X: ,-3529, Y: ,282,Time: ,2015-04-30 11:38:03.495
Client Num: ,15, X_Received: ,1964, Y_Received: ,966,Time: ,2015-04-30 11:38:03.495
Client Num:, 15, X: ,-2033, Y: ,309,Time: ,2015-04-30 11:38:03.594
Client Num: ,15, X_Received: ,1964, Y_Received: ,966,Time: ,2015-04-30 11:38:03.594
Client Num:, 15, X: ,-27225, Y: ,1158,Time: ,2015-04-30 11:38:03.694
Client Num: ,15, X_Received: ,1964, Y_Received: ,966,Time: ,2015-04-30 11:38:03.694
Client Num:, 15, X: ,2150, Y: ,576,Time: ,2015-04-30 11:38:03.794
Client Num: ,15, X_Received: ,1964, Y_Received: ,966,Time: ,2015-04-30 11:38:03.794
Client Num:, 15, X: ,-2044, Y: ,88,Time: ,2015-04-30 11:38:03.993
Client Num: ,15, X_Received: ,1964, Y_Received: ,966,Time: ,2015-04-30 11:38:03.993
Client Num:, 15, X: ,-10035, Y: ,297,Time: ,2015-04-30 11:38:04.093
Client Num: ,15, X_Received: ,1964, Y_Received: ,966,Time: ,2015-04-30 11:38:04.093
Client Num:, 15, X: ,-3633, Y: ,441,Time: ,2015-04-30 11:38:04.226
Client Num: ,15, X_Received: ,1964, Y_Received: ,966,Time: ,2015-04-30 11:38:04.226
Client Num:, 15, X: ,-1427, Y: ,634,Time: ,2015-04-30 11:38:04.327
Client Num: ,15, X_Received: ,1686, Y_Received: ,811,Time: ,2015-04-30 11:38:04.327
Client Num:, 15, X: ,427, Y: ,1270,Time: ,2015-04-30 11:38:04.427
Client Num: ,15, X_Received: ,1453, Y_Received: ,676,Time: ,2015-04-30 11:38:04.427
Client Num:, 15, X: ,-133731, Y: ,17173,Time: ,2015-04-30 11:38:04.526
Client Num: ,15, X_Received: ,1112, Y_Received: ,523,Time: ,2015-04-30 11:38:04.526
Client Num:, 15, X: ,-52945, Y: ,7370,Time: ,2015-04-30 11:38:04.660
Client Num: ,15, X_Received: ,980, Y_Received: ,545,Time: ,2015-04-30 11:38:04.660
Client Num:, 15, X: ,-260, Y: ,912,Time: ,2015-04-30 11:38:04.792
Client Num: ,15, X_Received: ,856, Y_Received: ,552,Time: ,2015-04-30 11:38:04.792
Client Num:, 15, X: ,-2057, Y: ,778,Time: ,2015-04-30 11:38:04.893
Client Num: ,15, X_Received: ,855, Y_Received: ,561,Time: ,2015-04-30 11:38:04.893
Client Num:, 15, X: ,-3901, Y: ,1084,Time: ,2015-04-30 11:38:04.993
Client Num: ,15, X_Received: ,853, Y_Received: ,558,Time: ,2015-04-30 11:38:04.993
Client Num:, 15, X: ,-1563, Y: ,752,Time: ,2015-04-30 11:38:05.092
Client Num: ,15, X_Received: ,852, Y_Received: ,556,Time: ,2015-04-30 11:38:05.092
Client Num:, 15, X: ,-456, Y: ,770,Time: ,2015-04-30 11:38:05.192
