Test at 4/30/2015 2:07:41 PM,

Client Num:, 19, X: ,56, Y: ,255,Time: ,2015-04-30 14:07:48.074
Client Num:, 19, X: ,35, Y: ,262,Time: ,2015-04-30 14:07:48.175
Client Num:, 19, X: ,27, Y: ,270,Time: ,2015-04-30 14:07:48.274
Client Num:, 19, X: ,472, Y: ,219,Time: ,2015-04-30 14:07:48.374
Client Num:, 19, X: ,478, Y: ,233,Time: ,2015-04-30 14:07:48.474
Client Num:, 19, X: ,477, Y: ,235,Time: ,2015-04-30 14:07:48.574
Client Num:, 19, X: ,531, Y: ,255,Time: ,2015-04-30 14:07:48.674
Client Num:, 19, X: ,565, Y: ,265,Time: ,2015-04-30 14:07:48.774
Client Num:, 19, X: ,678, Y: ,370,Time: ,2015-04-30 14:07:48.874
Client Num:, 19, X: ,681, Y: ,371,Time: ,2015-04-30 14:07:48.974
Client Num:, 19, X: ,373, Y: ,71,Time: ,2015-04-30 14:07:49.174
Client Num:, 19, X: ,382, Y: ,78,Time: ,2015-04-30 14:07:49.273
Client Num:, 19, X: ,567, Y: ,90,Time: ,2015-04-30 14:07:49.373
Client Num:, 19, X: ,615, Y: ,88,Time: ,2015-04-30 14:07:49.474
Client Num:, 19, X: ,794, Y: ,85,Time: ,2015-04-30 14:07:49.573
Client Num:, 19, X: ,794, Y: ,88,Time: ,2015-04-30 14:07:49.673
Client Num:, 19, X: ,795, Y: ,90,Time: ,2015-04-30 14:07:49.773
Client Num:, 19, X: ,1007, Y: ,93,Time: ,2015-04-30 14:07:49.873
Client Num:, 19, X: ,1014, Y: ,106,Time: ,2015-04-30 14:07:49.973
Client Num:, 19, X: ,1017, Y: ,103,Time: ,2015-04-30 14:07:50.073
Client Num:, 19, X: ,1017, Y: ,102,Time: ,2015-04-30 14:07:50.173
Client Num:, 19, X: ,1018, Y: ,103,Time: ,2015-04-30 14:07:50.273
Client Num:, 19, X: ,1019, Y: ,99,Time: ,2015-04-30 14:07:50.373
Client Num: ,19, X_Received: ,407, Y_Received: ,266,Time: ,2015-04-30 14:07:50.373
Client Num:, 19, X: ,1021, Y: ,95,Time: ,2015-04-30 14:07:50.472
Client Num:, 19, X: ,1023, Y: ,94,Time: ,2015-04-30 14:07:50.573
Client Num:, 19, X: ,504, Y: ,535,Time: ,2015-04-30 14:07:50.806
Client Num:, 19, X: ,507, Y: ,563,Time: ,2015-04-30 14:07:50.906
Client Num:, 19, X: ,516, Y: ,589,Time: ,2015-04-30 14:07:51.005
Client Num:, 19, X: ,584, Y: ,566,Time: ,2015-04-30 14:07:51.105
Client Num:, 19, X: ,807, Y: ,493,Time: ,2015-04-30 14:07:51.207
Client Num:, 19, X: ,792, Y: ,478,Time: ,2015-04-30 14:07:51.505
Client Num: ,19, X_Received: ,509, Y_Received: ,552,Time: ,2015-04-30 14:07:51.505
Client Num:, 19, X: ,768, Y: ,461,Time: ,2015-04-30 14:07:51.604
Client Num: ,19, X_Received: ,552, Y_Received: ,548,Time: ,2015-04-30 14:07:51.604
Client Num:, 19, X: ,755, Y: ,455,Time: ,2015-04-30 14:07:51.705
Client Num: ,19, X_Received: ,620, Y_Received: ,549,Time: ,2015-04-30 14:07:51.705
Client Num:, 19, X: ,748, Y: ,451,Time: ,2015-04-30 14:07:51.805
Client Num: ,19, X_Received: ,755, Y_Received: ,566,Time: ,2015-04-30 14:07:51.805
Client Num:, 19, X: ,742, Y: ,450,Time: ,2015-04-30 14:07:51.905
Client Num: ,19, X_Received: ,740, Y_Received: ,470,Time: ,2015-04-30 14:07:51.905
Client Num:, 19, X: ,737, Y: ,452,Time: ,2015-04-30 14:07:52.004
Client Num: ,19, X_Received: ,720, Y_Received: ,472,Time: ,2015-04-30 14:07:52.004
Client Num:, 19, X: ,734, Y: ,453,Time: ,2015-04-30 14:07:52.104
Client Num: ,19, X_Received: ,723, Y_Received: ,459,Time: ,2015-04-30 14:07:52.104
Client Num:, 19, X: ,732, Y: ,453,Time: ,2015-04-30 14:07:52.205
Client Num: ,19, X_Received: ,721, Y_Received: ,458,Time: ,2015-04-30 14:07:52.205
Client Num:, 19, X: ,731, Y: ,451,Time: ,2015-04-30 14:07:52.305
Client Num: ,19, X_Received: ,721, Y_Received: ,458,Time: ,2015-04-30 14:07:52.305
Client Num:, 19, X: ,725, Y: ,442,Time: ,2015-04-30 14:07:52.404
Client Num: ,19, X_Received: ,706, Y_Received: ,467,Time: ,2015-04-30 14:07:52.404
Client Num:, 19, X: ,721, Y: ,434,Time: ,2015-04-30 14:07:52.504
Client Num: ,19, X_Received: ,711, Y_Received: ,456,Time: ,2015-04-30 14:07:52.504
Client Num:, 19, X: ,717, Y: ,423,Time: ,2015-04-30 14:07:52.604
Client Num: ,19, X_Received: ,710, Y_Received: ,441,Time: ,2015-04-30 14:07:52.604
Client Num:, 19, X: ,714, Y: ,414,Time: ,2015-04-30 14:07:52.704
Client Num: ,19, X_Received: ,708, Y_Received: ,430,Time: ,2015-04-30 14:07:52.704
Client Num:, 19, X: ,712, Y: ,408,Time: ,2015-04-30 14:07:52.804
Client Num: ,19, X_Received: ,712, Y_Received: ,420,Time: ,2015-04-30 14:07:52.804
Client Num:, 19, X: ,710, Y: ,402,Time: ,2015-04-30 14:07:52.904
Client Num: ,19, X_Received: ,718, Y_Received: ,426,Time: ,2015-04-30 14:07:52.904
Client Num:, 19, X: ,707, Y: ,398,Time: ,2015-04-30 14:07:53.004
Client Num: ,19, X_Received: ,720, Y_Received: ,431,Time: ,2015-04-30 14:07:53.004
Client Num:, 19, X: ,705, Y: ,396,Time: ,2015-04-30 14:07:53.104
Client Num: ,19, X_Received: ,722, Y_Received: ,430,Time: ,2015-04-30 14:07:53.104
Client Num:, 19, X: ,702, Y: ,393,Time: ,2015-04-30 14:07:53.203
Client Num: ,19, X_Received: ,724, Y_Received: ,426,Time: ,2015-04-30 14:07:53.203
Client Num:, 19, X: ,701, Y: ,394,Time: ,2015-04-30 14:07:53.303
Client Num: ,19, X_Received: ,730, Y_Received: ,417,Time: ,2015-04-30 14:07:53.303
Client Num:, 19, X: ,701, Y: ,396,Time: ,2015-04-30 14:07:53.404
Client Num: ,19, X_Received: ,728, Y_Received: ,407,Time: ,2015-04-30 14:07:53.404
Client Num:, 19, X: ,700, Y: ,394,Time: ,2015-04-30 14:07:53.504
Client Num: ,19, X_Received: ,729, Y_Received: ,386,Time: ,2015-04-30 14:07:53.504
Client Num:, 19, X: ,701, Y: ,391,Time: ,2015-04-30 14:07:53.604
Client Num: ,19, X_Received: ,1752, Y_Received: ,774,Time: ,2015-04-30 14:07:53.604
