
Test at 5/5/2015 2:01:31 PM,

Client Num:, 23, X: ,79, Y: ,312,Time: ,2015-05-05 14:22:11.811
Client Num: ,23, X_Received: ,31, Y_Received: ,1136,Time: ,2015-05-05 14:22:11.811
Client Num:, 23, X: ,77, Y: ,310,Time: ,2015-05-05 14:22:11.912
Client Num: ,23, X_Received: ,762, Y_Received: ,456,Time: ,2015-05-05 14:22:11.912
Client Num:, 23, X: ,76, Y: ,311,Time: ,2015-05-05 14:22:12.011
Client Num: ,23, X_Received: ,808, Y_Received: ,398,Time: ,2015-05-05 14:22:12.011
Client Num:, 23, X: ,415, Y: ,287,Time: ,2015-05-05 14:22:12.111
Client Num: ,23, X_Received: ,785, Y_Received: ,388,Time: ,2015-05-05 14:22:12.111
Client Num:, 23, X: ,695, Y: ,307,Time: ,2015-05-05 14:22:12.213
Client Num: ,23, X_Received: ,705, Y_Received: ,753,Time: ,2015-05-05 14:22:12.213
Client Num:, 23, X: ,677, Y: ,246,Time: ,2015-05-05 14:22:12.311
Client Num: ,23, X_Received: ,711, Y_Received: ,746,Time: ,2015-05-05 14:22:12.311
Client Num:, 23, X: ,679, Y: ,271,Time: ,2015-05-05 14:22:12.411
Client Num: ,23, X_Received: ,712, Y_Received: ,745,Time: ,2015-05-05 14:22:12.411
Client Num:, 23, X: ,672, Y: ,262,Time: ,2015-05-05 14:22:12.511
Client Num: ,23, X_Received: ,715, Y_Received: ,750,Time: ,2015-05-05 14:22:12.511
Client Num:, 23, X: ,666, Y: ,246,Time: ,2015-05-05 14:22:12.611
Client Num: ,23, X_Received: ,715, Y_Received: ,751,Time: ,2015-05-05 14:22:12.611
Client Num:, 23, X: ,666, Y: ,239,Time: ,2015-05-05 14:22:12.713
Client Num: ,23, X_Received: ,1454, Y_Received: ,499,Time: ,2015-05-05 14:22:12.713
Client Num:, 23, X: ,745, Y: ,640,Time: ,2015-05-05 14:22:12.813
Client Num: ,23, X_Received: ,1442, Y_Received: ,499,Time: ,2015-05-05 14:22:12.813
Client Num:, 23, X: ,754, Y: ,652,Time: ,2015-05-05 14:22:12.910
Client Num: ,23, X_Received: ,1452, Y_Received: ,489,Time: ,2015-05-05 14:22:12.910
Client Num:, 23, X: ,835, Y: ,207,Time: ,2015-05-05 14:22:13.015
Client Num: ,23, X_Received: ,1145, Y_Received: ,611,Time: ,2015-05-05 14:22:13.015
Client Num:, 23, X: ,831, Y: ,205,Time: ,2015-05-05 14:22:13.112
Client Num: ,23, X_Received: ,760, Y_Received: ,775,Time: ,2015-05-05 14:22:13.112
Client Num:, 23, X: ,1301, Y: ,242,Time: ,2015-05-05 14:22:13.210
Client Num: ,23, X_Received: ,768, Y_Received: ,780,Time: ,2015-05-05 14:22:13.210
Client Num:, 23, X: ,1320, Y: ,251,Time: ,2015-05-05 14:22:13.311
Client Num: ,23, X_Received: ,771, Y_Received: ,783,Time: ,2015-05-05 14:22:13.311
Client Num:, 23, X: ,1356, Y: ,236,Time: ,2015-05-05 14:22:13.410
Client Num: ,23, X_Received: ,773, Y_Received: ,784,Time: ,2015-05-05 14:22:13.410
Client Num:, 23, X: ,1138, Y: ,469,Time: ,2015-05-05 14:22:13.510
Client Num: ,23, X_Received: ,773, Y_Received: ,783,Time: ,2015-05-05 14:22:13.510
Client Num:, 23, X: ,913, Y: ,723,Time: ,2015-05-05 14:22:13.611
Client Num: ,23, X_Received: ,901, Y_Received: ,1075,Time: ,2015-05-05 14:22:13.611
Client Num:, 23, X: ,846, Y: ,769,Time: ,2015-05-05 14:22:13.710
Client Num: ,23, X_Received: ,957, Y_Received: ,919,Time: ,2015-05-05 14:22:13.710
Client Num:, 23, X: ,825, Y: ,774,Time: ,2015-05-05 14:22:13.809
Client Num: ,23, X_Received: ,899, Y_Received: ,855,Time: ,2015-05-05 14:22:13.809
Client Num:, 23, X: ,822, Y: ,775,Time: ,2015-05-05 14:22:13.911
Client Num: ,23, X_Received: ,711, Y_Received: ,813,Time: ,2015-05-05 14:22:13.911
Client Num:, 23, X: ,1182, Y: ,578,Time: ,2015-05-05 14:22:14.011
Client Num: ,23, X_Received: ,704, Y_Received: ,784,Time: ,2015-05-05 14:22:14.011
Client Num:, 23, X: ,1186, Y: ,590,Time: ,2015-05-05 14:22:14.111
Client Num: ,23, X_Received: ,726, Y_Received: ,770,Time: ,2015-05-05 14:22:14.111
Client Num:, 23, X: ,926, Y: ,92,Time: ,2015-05-05 14:22:14.211
Client Num: ,23, X_Received: ,754, Y_Received: ,760,Time: ,2015-05-05 14:22:14.211
Client Num:, 23, X: ,954, Y: ,110,Time: ,2015-05-05 14:22:14.309
Client Num: ,23, X_Received: ,770, Y_Received: ,753,Time: ,2015-05-05 14:22:14.309
Client Num:, 23, X: ,957, Y: ,116,Time: ,2015-05-05 14:22:14.409
Client Num: ,23, X_Received: ,799, Y_Received: ,742,Time: ,2015-05-05 14:22:14.409
Client Num:, 23, X: ,770, Y: ,145,Time: ,2015-05-05 14:22:14.510
Client Num: ,23, X_Received: ,817, Y_Received: ,738,Time: ,2015-05-05 14:22:14.510
Client Num:, 23, X: ,750, Y: ,200,Time: ,2015-05-05 14:22:14.610
Client Num: ,23, X_Received: ,829, Y_Received: ,731,Time: ,2015-05-05 14:22:14.610
Client Num:, 23, X: ,748, Y: ,201,Time: ,2015-05-05 14:22:14.710
Client Num: ,23, X_Received: ,978, Y_Received: ,742,Time: ,2015-05-05 14:22:14.710
Client Num:, 23, X: ,742, Y: ,197,Time: ,2015-05-05 14:22:14.809
Client Num: ,23, X_Received: ,975, Y_Received: ,729,Time: ,2015-05-05 14:22:14.809
Client Num:, 23, X: ,745, Y: ,196,Time: ,2015-05-05 14:22:14.910
Client Num: ,23, X_Received: ,968, Y_Received: ,727,Time: ,2015-05-05 14:22:14.910
Client Num:, 23, X: ,746, Y: ,197,Time: ,2015-05-05 14:22:15.009
Client Num: ,23, X_Received: ,965, Y_Received: ,724,Time: ,2015-05-05 14:22:15.009
Client Num:, 23, X: ,748, Y: ,197,Time: ,2015-05-05 14:22:15.110
Client Num: ,23, X_Received: ,943, Y_Received: ,730,Time: ,2015-05-05 14:22:15.110
Client Num:, 23, X: ,748, Y: ,192,Time: ,2015-05-05 14:22:15.210
Client Num: ,23, X_Received: ,933, Y_Received: ,735,Time: ,2015-05-05 14:22:15.210
Client Num:, 23, X: ,749, Y: ,194,Time: ,2015-05-05 14:22:15.308
Client Num: ,23, X_Received: ,918, Y_Received: ,742,Time: ,2015-05-05 14:22:15.308
Client Num:, 23, X: ,750, Y: ,194,Time: ,2015-05-05 14:22:15.411
Client Num: ,23, X_Received: ,918, Y_Received: ,742,Time: ,2015-05-05 14:22:15.411
Client Num:, 23, X: ,751, Y: ,196,Time: ,2015-05-05 14:22:15.509
Client Num: ,23, X_Received: ,1452, Y_Received: ,415,Time: ,2015-05-05 14:22:15.509
Client Num:, 23, X: ,752, Y: ,196,Time: ,2015-05-05 14:22:15.609
Client Num: ,23, X_Received: ,1450, Y_Received: ,408,Time: ,2015-05-05 14:22:15.609
Client Num:, 23, X: ,751, Y: ,197,Time: ,2015-05-05 14:22:15.709
Client Num: ,23, X_Received: ,1453, Y_Received: ,396,Time: ,2015-05-05 14:22:15.709
Client Num:, 23, X: ,761, Y: ,198,Time: ,2015-05-05 14:22:15.809
Client Num: ,23, X_Received: ,1449, Y_Received: ,417,Time: ,2015-05-05 14:22:15.809
Client Num:, 23, X: ,769, Y: ,197,Time: ,2015-05-05 14:22:15.909
Client Num: ,23, X_Received: ,1447, Y_Received: ,419,Time: ,2015-05-05 14:22:15.909
Client Num:, 23, X: ,779, Y: ,196,Time: ,2015-05-05 14:22:16.008
Client Num: ,23, X_Received: ,1449, Y_Received: ,423,Time: ,2015-05-05 14:22:16.008
Client Num:, 23, X: ,789, Y: ,194,Time: ,2015-05-05 14:22:16.109
Client Num: ,23, X_Received: ,876, Y_Received: ,615,Time: ,2015-05-05 14:22:16.109
Client Num:, 23, X: ,797, Y: ,195,Time: ,2015-05-05 14:22:16.209
Client Num: ,23, X_Received: ,886, Y_Received: ,565,Time: ,2015-05-05 14:22:16.209
Client Num:, 23, X: ,805, Y: ,196,Time: ,2015-05-05 14:22:16.308
Client Num: ,23, X_Received: ,895, Y_Received: ,527,Time: ,2015-05-05 14:22:16.308
Client Num:, 23, X: ,807, Y: ,199,Time: ,2015-05-05 14:22:16.409
Client Num: ,23, X_Received: ,922, Y_Received: ,471,Time: ,2015-05-05 14:22:16.409
Client Num:, 23, X: ,808, Y: ,200,Time: ,2015-05-05 14:22:16.508
