Test at 5/7/2015 5:15:10 PM,

Client Num:, 31, X: ,-880, Y: ,-448,Time: ,2015-05-07 17:15:20.417
Client Num:, 31, X: ,-99, Y: ,131,Time: ,2015-05-07 17:15:20.549
Client Num:, 31, X: ,281, Y: ,191,Time: ,2015-05-07 17:15:20.816
Client Num:, 31, X: ,482, Y: ,225,Time: ,2015-05-07 17:15:20.916
Client Num:, 31, X: ,476, Y: ,223,Time: ,2015-05-07 17:15:21.016
Client Num:, 31, X: ,458, Y: ,195,Time: ,2015-05-07 17:15:21.116
Client Num:, 31, X: ,434, Y: ,159,Time: ,2015-05-07 17:15:21.215
Client Num:, 31, X: ,433, Y: ,154,Time: ,2015-05-07 17:15:21.316
Client Num:, 31, X: ,434, Y: ,155,Time: ,2015-05-07 17:15:21.416
Client Num:, 31, X: ,436, Y: ,155,Time: ,2015-05-07 17:15:21.515
Client Num:, 31, X: ,438, Y: ,150,Time: ,2015-05-07 17:15:21.615
Client Num:, 31, X: ,437, Y: ,141,Time: ,2015-05-07 17:15:21.715
Client Num:, 31, X: ,433, Y: ,130,Time: ,2015-05-07 17:15:21.816
Client Num:, 31, X: ,429, Y: ,121,Time: ,2015-05-07 17:15:21.915
Client Num:, 31, X: ,429, Y: ,109,Time: ,2015-05-07 17:15:22.015
Client Num:, 31, X: ,430, Y: ,101,Time: ,2015-05-07 17:15:22.115
Client Num:, 31, X: ,855, Y: ,40,Time: ,2015-05-07 17:15:22.215
Client Num:, 31, X: ,1175, Y: ,14,Time: ,2015-05-07 17:15:22.315
Client Num:, 31, X: ,1147, Y: ,33,Time: ,2015-05-07 17:15:22.415
Client Num:, 31, X: ,1071, Y: ,59,Time: ,2015-05-07 17:15:22.515
Client Num:, 31, X: ,1057, Y: ,58,Time: ,2015-05-07 17:15:22.615
Client Num: ,31, X_Received: ,1411, Y_Received: ,353,Time: ,2015-05-07 17:15:22.615
Client Num:, 31, X: ,1049, Y: ,59,Time: ,2015-05-07 17:15:22.717
Client Num: ,31, X_Received: ,1418, Y_Received: ,341,Time: ,2015-05-07 17:15:22.717
Client Num:, 31, X: ,1044, Y: ,62,Time: ,2015-05-07 17:15:22.814
Client Num: ,31, X_Received: ,1440, Y_Received: ,350,Time: ,2015-05-07 17:15:22.814
Client Num:, 31, X: ,1025, Y: ,93,Time: ,2015-05-07 17:15:22.914
Client Num: ,31, X_Received: ,1478, Y_Received: ,347,Time: ,2015-05-07 17:15:22.914
Client Num:, 31, X: ,1012, Y: ,114,Time: ,2015-05-07 17:15:23.014
Client Num: ,31, X_Received: ,1488, Y_Received: ,345,Time: ,2015-05-07 17:15:23.014
Client Num:, 31, X: ,813, Y: ,96,Time: ,2015-05-07 17:15:23.115
Client Num: ,31, X_Received: ,1488, Y_Received: ,345,Time: ,2015-05-07 17:15:23.115
Client Num:, 31, X: ,775, Y: ,73,Time: ,2015-05-07 17:15:23.215
Client Num: ,31, X_Received: ,1488, Y_Received: ,345,Time: ,2015-05-07 17:15:23.215
Client Num:, 31, X: ,782, Y: ,73,Time: ,2015-05-07 17:15:23.315
Client Num: ,31, X_Received: ,1497, Y_Received: ,313,Time: ,2015-05-07 17:15:23.315
Client Num:, 31, X: ,787, Y: ,75,Time: ,2015-05-07 17:15:23.414
Client Num:, 31, X: ,781, Y: ,98,Time: ,2015-05-07 17:15:23.514
Client Num: ,31, X_Received: ,1514, Y_Received: ,2,Time: ,2015-05-07 17:15:23.514
Client Num:, 31, X: ,776, Y: ,114,Time: ,2015-05-07 17:15:23.614
Client Num: ,31, X_Received: ,1519, Y_Received: ,21,Time: ,2015-05-07 17:15:23.614
Client Num:, 31, X: ,773, Y: ,126,Time: ,2015-05-07 17:15:23.714
Client Num: ,31, X_Received: ,1514, Y_Received: ,24,Time: ,2015-05-07 17:15:23.714
Client Num:, 31, X: ,771, Y: ,135,Time: ,2015-05-07 17:15:23.814
Client Num: ,31, X_Received: ,770, Y_Received: ,134,Time: ,2015-05-07 17:15:23.814
Client Num:, 31, X: ,771, Y: ,130,Time: ,2015-05-07 17:15:23.914
Client Num: ,31, X_Received: ,780, Y_Received: ,117,Time: ,2015-05-07 17:15:23.914
Client Num:, 31, X: ,771, Y: ,124,Time: ,2015-05-07 17:15:24.013
Client Num: ,31, X_Received: ,788, Y_Received: ,120,Time: ,2015-05-07 17:15:24.013
Client Num:, 31, X: ,771, Y: ,116,Time: ,2015-05-07 17:15:24.115
Client Num: ,31, X_Received: ,774, Y_Received: ,94,Time: ,2015-05-07 17:15:24.115
Client Num:, 31, X: ,770, Y: ,113,Time: ,2015-05-07 17:15:24.213
Client Num: ,31, X_Received: ,767, Y_Received: ,146,Time: ,2015-05-07 17:15:24.213
Client Num:, 31, X: ,770, Y: ,108,Time: ,2015-05-07 17:15:24.313
Client Num: ,31, X_Received: ,768, Y_Received: ,105,Time: ,2015-05-07 17:15:24.313
Client Num:, 31, X: ,770, Y: ,104,Time: ,2015-05-07 17:15:24.413
Client Num: ,31, X_Received: ,770, Y_Received: ,89,Time: ,2015-05-07 17:15:24.413
Client Num:, 31, X: ,774, Y: ,100,Time: ,2015-05-07 17:15:24.514
Client Num: ,31, X_Received: ,771, Y_Received: ,89,Time: ,2015-05-07 17:15:24.514
Client Num:, 31, X: ,767, Y: ,96,Time: ,2015-05-07 17:15:24.613
Client Num: ,31, X_Received: ,771, Y_Received: ,90,Time: ,2015-05-07 17:15:24.613
Client Num:, 31, X: ,762, Y: ,91,Time: ,2015-05-07 17:15:24.713
Client Num: ,31, X_Received: ,774, Y_Received: ,87,Time: ,2015-05-07 17:15:24.713
Client Num:, 31, X: ,756, Y: ,84,Time: ,2015-05-07 17:15:24.812
Client Num: ,31, X_Received: ,776, Y_Received: ,85,Time: ,2015-05-07 17:15:24.812
Client Num:, 31, X: ,750, Y: ,82,Time: ,2015-05-07 17:15:24.913
Client Num: ,31, X_Received: ,777, Y_Received: ,83,Time: ,2015-05-07 17:15:24.913
Client Num:, 31, X: ,725, Y: ,94,Time: ,2015-05-07 17:15:25.014
Client Num: ,31, X_Received: ,778, Y_Received: ,84,Time: ,2015-05-07 17:15:25.014
Client Num:, 31, X: ,702, Y: ,106,Time: ,2015-05-07 17:15:25.113
Client Num: ,31, X_Received: ,775, Y_Received: ,79,Time: ,2015-05-07 17:15:25.113
Client Num:, 31, X: ,680, Y: ,117,Time: ,2015-05-07 17:15:25.212
Client Num: ,31, X_Received: ,769, Y_Received: ,73,Time: ,2015-05-07 17:15:25.212
Client Num:, 31, X: ,661, Y: ,127,Time: ,2015-05-07 17:15:25.312
Client Num: ,31, X_Received: ,755, Y_Received: ,65,Time: ,2015-05-07 17:15:25.312
Client Num:, 31, X: ,299, Y: ,158,Time: ,2015-05-07 17:15:25.412
Client Num: ,31, X_Received: ,561, Y_Received: ,264,Time: ,2015-05-07 17:15:25.412
Client Num:, 31, X: ,306, Y: ,170,Time: ,2015-05-07 17:15:25.513
Client Num: ,31, X_Received: ,585, Y_Received: ,266,Time: ,2015-05-07 17:15:25.513
Client Num:, 31, X: ,140, Y: ,415,Time: ,2015-05-07 17:15:25.613
Client Num: ,31, X_Received: ,582, Y_Received: ,266,Time: ,2015-05-07 17:15:25.613
Client Num:, 31, X: ,79, Y: ,549,Time: ,2015-05-07 17:15:25.713
Client Num: ,31, X_Received: ,583, Y_Received: ,266,Time: ,2015-05-07 17:15:25.713
Client Num:, 31, X: ,76, Y: ,547,Time: ,2015-05-07 17:15:25.813
