Test at 5/12/2015 11:32:10 AM,
Client Num:, 33, X: ,592, Y: ,327,Time: ,2015-05-12 11:49:07.012
Client Num: ,33, X_Received: ,847, Y_Received: ,755,Time: ,2015-05-12 11:49:07.012
Client Num:, 33, X: ,592, Y: ,327,Time: ,2015-05-12 11:49:07.112
Client Num: ,33, X_Received: ,851, Y_Received: ,755,Time: ,2015-05-12 11:49:07.112
Client Num:, 33, X: ,590, Y: ,323,Time: ,2015-05-12 11:49:07.212
Client Num: ,33, X_Received: ,855, Y_Received: ,756,Time: ,2015-05-12 11:49:07.212
Client Num:, 33, X: ,590, Y: ,323,Time: ,2015-05-12 11:49:07.312
Client Num: ,33, X_Received: ,858, Y_Received: ,756,Time: ,2015-05-12 11:49:07.312
Client Num:, 33, X: ,591, Y: ,323,Time: ,2015-05-12 11:49:07.412
Client Num: ,33, X_Received: ,858, Y_Received: ,755,Time: ,2015-05-12 11:49:07.412
Client Num:, 33, X: ,593, Y: ,323,Time: ,2015-05-12 11:49:07.511
Client Num: ,33, X_Received: ,858, Y_Received: ,753,Time: ,2015-05-12 11:49:07.511
Client Num:, 33, X: ,596, Y: ,322,Time: ,2015-05-12 11:49:07.611
Client Num: ,33, X_Received: ,859, Y_Received: ,753,Time: ,2015-05-12 11:49:07.611
Client Num:, 33, X: ,598, Y: ,323,Time: ,2015-05-12 11:49:07.712
Client Num: ,33, X_Received: ,860, Y_Received: ,752,Time: ,2015-05-12 11:49:07.712
Client Num:, 33, X: ,600, Y: ,324,Time: ,2015-05-12 11:49:07.812
Client Num: ,33, X_Received: ,859, Y_Received: ,750,Time: ,2015-05-12 11:49:07.812
Client Num:, 33, X: ,603, Y: ,324,Time: ,2015-05-12 11:49:07.912
Client Num: ,33, X_Received: ,858, Y_Received: ,750,Time: ,2015-05-12 11:49:07.912
Client Num:, 33, X: ,606, Y: ,325,Time: ,2015-05-12 11:49:08.011
Client Num: ,33, X_Received: ,858, Y_Received: ,748,Time: ,2015-05-12 11:49:08.011
Client Num:, 33, X: ,607, Y: ,326,Time: ,2015-05-12 11:49:08.111
Client Num: ,33, X_Received: ,858, Y_Received: ,749,Time: ,2015-05-12 11:49:08.111
Client Num:, 33, X: ,1174, Y: ,14,Time: ,2015-05-12 11:49:08.344
Client Num: ,33, X_Received: ,857, Y_Received: ,747,Time: ,2015-05-12 11:49:08.344
Client Num:, 33, X: ,1166, Y: ,19,Time: ,2015-05-12 11:49:08.445
Client Num: ,33, X_Received: ,854, Y_Received: ,749,Time: ,2015-05-12 11:49:08.445
Client Num:, 33, X: ,1194, Y: ,-8,Time: ,2015-05-12 11:49:08.545
Client Num: ,33, X_Received: ,854, Y_Received: ,749,Time: ,2015-05-12 11:49:08.545
Client Num:, 33, X: ,1213, Y: ,-20,Time: ,2015-05-12 11:49:08.644
Client Num: ,33, X_Received: ,852, Y_Received: ,750,Time: ,2015-05-12 11:49:08.644
Client Num:, 33, X: ,1221, Y: ,-28,Time: ,2015-05-12 11:49:08.744
Client Num: ,33, X_Received: ,851, Y_Received: ,750,Time: ,2015-05-12 11:49:08.744
Client Num:, 33, X: ,1226, Y: ,-33,Time: ,2015-05-12 11:49:08.844
Client Num: ,33, X_Received: ,850, Y_Received: ,750,Time: ,2015-05-12 11:49:08.844
Client Num:, 33, X: ,1230, Y: ,-38,Time: ,2015-05-12 11:49:08.944
Client Num: ,33, X_Received: ,813, Y_Received: ,558,Time: ,2015-05-12 11:49:08.944
Client Num:, 33, X: ,1235, Y: ,-38,Time: ,2015-05-12 11:49:09.044
Client Num: ,33, X_Received: ,774, Y_Received: ,446,Time: ,2015-05-12 11:49:09.044
Client Num:, 33, X: ,1237, Y: ,-37,Time: ,2015-05-12 11:49:09.143
Client Num: ,33, X_Received: ,770, Y_Received: ,442,Time: ,2015-05-12 11:49:09.143
Client Num:, 33, X: ,1240, Y: ,-37,Time: ,2015-05-12 11:49:09.244
Client Num: ,33, X_Received: ,739, Y_Received: ,441,Time: ,2015-05-12 11:49:09.244
Client Num:, 33, X: ,811, Y: ,328,Time: ,2015-05-12 11:49:09.344
Client Num: ,33, X_Received: ,711, Y_Received: ,442,Time: ,2015-05-12 11:49:09.344
Client Num:, 33, X: ,809, Y: ,326,Time: ,2015-05-12 11:49:09.444
Client Num: ,33, X_Received: ,618, Y_Received: ,605,Time: ,2015-05-12 11:49:09.444
Client Num:, 33, X: ,807, Y: ,327,Time: ,2015-05-12 11:49:09.543
Client Num: ,33, X_Received: ,613, Y_Received: ,609,Time: ,2015-05-12 11:49:09.543
Client Num:, 33, X: ,808, Y: ,332,Time: ,2015-05-12 11:49:09.643
Client Num: ,33, X_Received: ,610, Y_Received: ,597,Time: ,2015-05-12 11:49:09.643
Client Num:, 33, X: ,808, Y: ,335,Time: ,2015-05-12 11:49:09.743
Client Num: ,33, X_Received: ,615, Y_Received: ,551,Time: ,2015-05-12 11:49:09.743
Client Num:, 33, X: ,809, Y: ,335,Time: ,2015-05-12 11:49:09.844
Client Num: ,33, X_Received: ,584, Y_Received: ,370,Time: ,2015-05-12 11:49:09.844
Client Num:, 33, X: ,811, Y: ,335,Time: ,2015-05-12 11:49:09.943
Client Num: ,33, X_Received: ,537, Y_Received: ,218,Time: ,2015-05-12 11:49:09.943
Client Num:, 33, X: ,810, Y: ,335,Time: ,2015-05-12 11:49:10.043
Client Num: ,33, X_Received: ,541, Y_Received: ,228,Time: ,2015-05-12 11:49:10.043
Client Num:, 33, X: ,810, Y: ,335,Time: ,2015-05-12 11:49:10.143
Client Num: ,33, X_Received: ,371, Y_Received: ,229,Time: ,2015-05-12 11:49:10.143
Client Num:, 33, X: ,810, Y: ,333,Time: ,2015-05-12 11:49:10.243
Client Num: ,33, X_Received: ,486, Y_Received: ,286,Time: ,2015-05-12 11:49:10.243
Client Num:, 33, X: ,810, Y: ,334,Time: ,2015-05-12 11:49:10.342
Client Num: ,33, X_Received: ,617, Y_Received: ,439,Time: ,2015-05-12 11:49:10.342
Client Num:, 33, X: ,812, Y: ,333,Time: ,2015-05-12 11:49:10.443
Client Num: ,33, X_Received: ,1038, Y_Received: ,495,Time: ,2015-05-12 11:49:10.443
Client Num:, 33, X: ,811, Y: ,333,Time: ,2015-05-12 11:49:10.543
Client Num: ,33, X_Received: ,1047, Y_Received: ,493,Time: ,2015-05-12 11:49:10.543
Client Num:, 33, X: ,812, Y: ,334,Time: ,2015-05-12 11:49:10.643
Client Num: ,33, X_Received: ,1049, Y_Received: ,459,Time: ,2015-05-12 11:49:10.643
Client Num:, 33, X: ,813, Y: ,335,Time: ,2015-05-12 11:49:10.742
Client Num: ,33, X_Received: ,1044, Y_Received: ,407,Time: ,2015-05-12 11:49:10.742
Client Num:, 33, X: ,1055, Y: ,318,Time: ,2015-05-12 11:49:10.842
Client Num: ,33, X_Received: ,1042, Y_Received: ,387,Time: ,2015-05-12 11:49:10.842
Client Num:, 33, X: ,1047, Y: ,323,Time: ,2015-05-12 11:49:10.943
Client Num: ,33, X_Received: ,1035, Y_Received: ,378,Time: ,2015-05-12 11:49:10.943
Client Num:, 33, X: ,1251, Y: ,338,Time: ,2015-05-12 11:49:11.042
Client Num: ,33, X_Received: ,1032, Y_Received: ,373,Time: ,2015-05-12 11:49:11.042
Client Num:, 33, X: ,1272, Y: ,346,Time: ,2015-05-12 11:49:11.142
Client Num: ,33, X_Received: ,1027, Y_Received: ,366,Time: ,2015-05-12 11:49:11.142
Client Num:, 33, X: ,1290, Y: ,367,Time: ,2015-05-12 11:49:11.342
Client Num: ,33, X_Received: ,850, Y_Received: ,378,Time: ,2015-05-12 11:49:11.342
Client Num:, 33, X: ,1285, Y: ,304,Time: ,2015-05-12 11:49:11.442
Client Num: ,33, X_Received: ,625, Y_Received: ,455,Time: ,2015-05-12 11:49:11.442
Client Num:, 33, X: ,1367, Y: ,328,Time: ,2015-05-12 11:49:11.542
Client Num: ,33, X_Received: ,628, Y_Received: ,456,Time: ,2015-05-12 11:49:11.542
Client Num:, 33, X: ,1423, Y: ,337,Time: ,2015-05-12 11:49:11.642
Client Num: ,33, X_Received: ,631, Y_Received: ,455,Time: ,2015-05-12 11:49:11.642
Client Num:, 33, X: ,1444, Y: ,343,Time: ,2015-05-12 11:49:11.741
Client Num: ,33, X_Received: ,632, Y_Received: ,455,Time: ,2015-05-12 11:49:11.741
Client Num:, 33, X: ,1456, Y: ,346,Time: ,2015-05-12 11:49:11.842
Client Num: ,33, X_Received: ,978, Y_Received: ,411,Time: ,2015-05-12 11:49:11.842
Client Num:, 33, X: ,1476, Y: ,346,Time: ,2015-05-12 11:49:11.942
Client Num: ,33, X_Received: ,1493, Y_Received: ,559,Time: ,2015-05-12 11:49:11.942
Client Num:, 33, X: ,1382, Y: ,345,Time: ,2015-05-12 11:49:12.041
Client Num: ,33, X_Received: ,1329, Y_Received: ,424,Time: ,2015-05-12 11:49:12.041
Client Num:, 33, X: ,689, Y: ,392,Time: ,2015-05-12 11:49:12.142
Client Num: ,33, X_Received: ,1167, Y_Received: ,302,Time: ,2015-05-12 11:49:12.142
Client Num:, 33, X: ,688, Y: ,393,Time: ,2015-05-12 11:49:12.241
Client Num: ,33, X_Received: ,843, Y_Received: ,258,Time: ,2015-05-12 11:49:12.241
Client Num:, 33, X: ,687, Y: ,396,Time: ,2015-05-12 11:49:12.342
Client Num: ,33, X_Received: ,585, Y_Received: ,224,Time: ,2015-05-12 11:49:12.342
Client Num:, 33, X: ,685, Y: ,395,Time: ,2015-05-12 11:49:12.441
Client Num: ,33, X_Received: ,583, Y_Received: ,233,Time: ,2015-05-12 11:49:12.441
Client Num:, 33, X: ,682, Y: ,398,Time: ,2015-05-12 11:49:12.541
Client Num: ,33, X_Received: ,698, Y_Received: ,541,Time: ,2015-05-12 11:49:12.541
Client Num:, 33, X: ,681, Y: ,398,Time: ,2015-05-12 11:49:12.641
Client Num: ,33, X_Received: ,705, Y_Received: ,551,Time: ,2015-05-12 11:49:12.641
Client Num:, 33, X: ,680, Y: ,399,Time: ,2015-05-12 11:49:12.741
Client Num: ,33, X_Received: ,1012, Y_Received: ,586,Time: ,2015-05-12 11:49:12.741
Client Num:, 33, X: ,679, Y: ,402,Time: ,2015-05-12 11:49:12.841
Client Num: ,33, X_Received: ,1006, Y_Received: ,599,Time: ,2015-05-12 11:49:12.841
Client Num:, 33, X: ,679, Y: ,404,Time: ,2015-05-12 11:49:12.941
Client Num: ,33, X_Received: ,1001, Y_Received: ,591,Time: ,2015-05-12 11:49:12.941
Client Num:, 33, X: ,679, Y: ,404,Time: ,2015-05-12 11:49:13.041
Client Num: ,33, X_Received: ,998, Y_Received: ,586,Time: ,2015-05-12 11:49:13.041
Client Num:, 33, X: ,680, Y: ,405,Time: ,2015-05-12 11:49:13.141
Client Num: ,33, X_Received: ,683, Y_Received: ,491,Time: ,2015-05-12 11:49:13.141
Client Num:, 33, X: ,681, Y: ,405,Time: ,2015-05-12 11:49:13.241
Client Num: ,33, X_Received: ,676, Y_Received: ,482,Time: ,2015-05-12 11:49:13.241
