Test at 5/12/2015 1:39:04 PM,
Client Num:, 35, X: ,502, Y: ,513,Time: ,2015-05-12 13:39:11.535
Client Num:, 35, X: ,434, Y: ,252,Time: ,2015-05-12 13:39:11.635
Client Num:, 35, X: ,1112, Y: ,271,Time: ,2015-05-12 13:39:11.735
Client Num:, 35, X: ,1404, Y: ,98,Time: ,2015-05-12 13:39:11.835
Client Num:, 35, X: ,1411, Y: ,165,Time: ,2015-05-12 13:39:11.934
Client Num:, 35, X: ,1401, Y: ,149,Time: ,2015-05-12 13:39:12.034
Client Num:, 35, X: ,1212, Y: ,172,Time: ,2015-05-12 13:39:12.301
Client Num:, 35, X: ,1061, Y: ,134,Time: ,2015-05-12 13:39:12.501
Client Num:, 35, X: ,1100, Y: ,146,Time: ,2015-05-12 13:39:12.601
Client Num:, 35, X: ,1075, Y: ,142,Time: ,2015-05-12 13:39:12.734
Client Num:, 35, X: ,1066, Y: ,152,Time: ,2015-05-12 13:39:12.867
Client Num:, 35, X: ,1054, Y: ,160,Time: ,2015-05-12 13:39:12.967
Client Num:, 35, X: ,1053, Y: ,169,Time: ,2015-05-12 13:39:13.067
Client Num:, 35, X: ,1059, Y: ,186,Time: ,2015-05-12 13:39:13.167
Client Num:, 35, X: ,1090, Y: ,296,Time: ,2015-05-12 13:39:13.266
Client Num:, 35, X: ,1048, Y: ,216,Time: ,2015-05-12 13:39:13.367
Client Num:, 35, X: ,1048, Y: ,249,Time: ,2015-05-12 13:39:13.466
Client Num:, 35, X: ,1045, Y: ,241,Time: ,2015-05-12 13:39:13.567
Client Num:, 35, X: ,1041, Y: ,222,Time: ,2015-05-12 13:39:13.667
Client Num:, 35, X: ,735, Y: ,133,Time: ,2015-05-12 13:39:13.766
Client Num:, 35, X: ,786, Y: ,185,Time: ,2015-05-12 13:39:13.866
Client Num:, 35, X: ,795, Y: ,182,Time: ,2015-05-12 13:39:13.966
Client Num:, 35, X: ,412, Y: ,376,Time: ,2015-05-12 13:39:14.066
Client Num:, 35, X: ,411, Y: ,374,Time: ,2015-05-12 13:39:14.166
Client Num:, 35, X: ,429, Y: ,386,Time: ,2015-05-12 13:39:14.266
Client Num:, 35, X: ,442, Y: ,386,Time: ,2015-05-12 13:39:14.366
Client Num:, 35, X: ,656, Y: ,508,Time: ,2015-05-12 13:39:14.466
Client Num:, 35, X: ,-1146, Y: ,-3183,Time: ,2015-05-12 13:39:14.599
Client Num:, 35, X: ,475, Y: ,517,Time: ,2015-05-12 13:39:14.899
Client Num:, 35, X: ,581, Y: ,393,Time: ,2015-05-12 13:39:15.165
Client Num:, 35, X: ,1387, Y: ,824,Time: ,2015-05-12 13:39:15.465
Client Num:, 35, X: ,1788, Y: ,659,Time: ,2015-05-12 13:39:15.565
Client Num:, 35, X: ,1604, Y: ,879,Time: ,2015-05-12 13:39:15.665
Client Num:, 35, X: ,1566, Y: ,990,Time: ,2015-05-12 13:39:15.764
Client Num:, 35, X: ,1568, Y: ,930,Time: ,2015-05-12 13:39:15.865
Client Num:, 35, X: ,1570, Y: ,903,Time: ,2015-05-12 13:39:15.964
Client Num:, 35, X: ,1552, Y: ,942,Time: ,2015-05-12 13:39:16.065
Client Num:, 35, X: ,-388, Y: ,-1671,Time: ,2015-05-12 13:39:16.264
Client Num:, 35, X: ,1555, Y: ,840,Time: ,2015-05-12 13:39:16.431
Client Num:, 35, X: ,763, Y: ,-107,Time: ,2015-05-12 13:39:16.531
Client Num:, 35, X: ,1639, Y: ,928,Time: ,2015-05-12 13:39:16.631
Client Num:, 35, X: ,1711, Y: ,862,Time: ,2015-05-12 13:39:16.730
Client Num:, 35, X: ,1684, Y: ,892,Time: ,2015-05-12 13:39:16.832
Client Num:, 35, X: ,1677, Y: ,903,Time: ,2015-05-12 13:39:16.930
Client Num:, 35, X: ,288, Y: ,657,Time: ,2015-05-12 13:39:17.031
Client Num:, 35, X: ,296, Y: ,694,Time: ,2015-05-12 13:39:17.130
Client Num:, 35, X: ,344, Y: ,738,Time: ,2015-05-12 13:39:17.230
Client Num:, 35, X: ,321, Y: ,736,Time: ,2015-05-12 13:39:17.331
Client Num:, 35, X: ,335, Y: ,736,Time: ,2015-05-12 13:39:17.430
Client Num:, 35, X: ,710, Y: ,179,Time: ,2015-05-12 13:39:17.563
Client Num:, 35, X: ,215, Y: ,430,Time: ,2015-05-12 13:39:17.664
Client Num:, 35, X: ,165, Y: ,-15,Time: ,2015-05-12 13:39:17.830
Client Num:, 35, X: ,226, Y: ,146,Time: ,2015-05-12 13:39:17.930
Client Num:, 35, X: ,214, Y: ,119,Time: ,2015-05-12 13:39:18.029
Client Num:, 35, X: ,217, Y: ,133,Time: ,2015-05-12 13:39:18.130
Client Num:, 35, X: ,285, Y: ,307,Time: ,2015-05-12 13:39:18.229
Client Num:, 35, X: ,236, Y: ,237,Time: ,2015-05-12 13:39:18.330
Client Num:, 35, X: ,255, Y: ,270,Time: ,2015-05-12 13:39:18.429
Client Num:, 35, X: ,277, Y: ,267,Time: ,2015-05-12 13:39:18.530
Client Num:, 35, X: ,338, Y: ,719,Time: ,2015-05-12 13:39:18.629
Client Num:, 35, X: ,366, Y: ,747,Time: ,2015-05-12 13:39:18.729
Client Num:, 35, X: ,345, Y: ,727,Time: ,2015-05-12 13:39:18.829
Client Num:, 35, X: ,333, Y: ,716,Time: ,2015-05-12 13:39:18.929
Client Num:, 35, X: ,332, Y: ,719,Time: ,2015-05-12 13:39:19.029
Client Num:, 35, X: ,336, Y: ,724,Time: ,2015-05-12 13:39:19.129
Client Num:, 35, X: ,1566, Y: ,932,Time: ,2015-05-12 13:39:19.229
Client Num:, 35, X: ,1586, Y: ,953,Time: ,2015-05-12 13:39:19.329
Client Num:, 35, X: ,1692, Y: ,908,Time: ,2015-05-12 13:39:19.428
Client Num:, 35, X: ,1611, Y: ,914,Time: ,2015-05-12 13:39:19.529
Client Num:, 35, X: ,1588, Y: ,919,Time: ,2015-05-12 13:39:19.629
Client Num:, 35, X: ,1604, Y: ,904,Time: ,2015-05-12 13:39:19.728
Client Num:, 35, X: ,1608, Y: ,884,Time: ,2015-05-12 13:39:19.828
Client Num:, 35, X: ,746, Y: ,469,Time: ,2015-05-12 13:39:19.929
Client Num:, 35, X: ,-3020, Y: ,-3625,Time: ,2015-05-12 13:39:20.028
Client Num:, 35, X: ,215, Y: ,98,Time: ,2015-05-12 13:39:20.128
Client Num:, 35, X: ,269, Y: ,131,Time: ,2015-05-12 13:39:20.228
Client Num:, 35, X: ,331, Y: ,50,Time: ,2015-05-12 13:39:20.328
Client Num:, 35, X: ,310, Y: ,47,Time: ,2015-05-12 13:39:20.427
Client Num:, 35, X: ,313, Y: ,52,Time: ,2015-05-12 13:39:20.528
Client Num:, 35, X: ,303, Y: ,61,Time: ,2015-05-12 13:39:20.628
Client Num:, 35, X: ,184, Y: ,-33,Time: ,2015-05-12 13:39:20.728
Client Num:, 35, X: ,271, Y: ,57,Time: ,2015-05-12 13:39:20.828
Client Num:, 35, X: ,244, Y: ,90,Time: ,2015-05-12 13:39:20.927
Client Num:, 35, X: ,252, Y: ,54,Time: ,2015-05-12 13:39:21.027
Client Num:, 35, X: ,21, Y: ,-87,Time: ,2015-05-12 13:39:21.127
Client Num:, 35, X: ,178, Y: ,33,Time: ,2015-05-12 13:39:21.227
Client Num:, 35, X: ,250, Y: ,196,Time: ,2015-05-12 13:39:21.327
Client Num:, 35, X: ,411, Y: ,512,Time: ,2015-05-12 13:39:21.427
Client Num:, 35, X: ,86, Y: ,-1967,Time: ,2015-05-12 13:39:21.526
Client Num:, 35, X: ,418, Y: ,683,Time: ,2015-05-12 13:39:21.626
Client Num:, 35, X: ,2307, Y: ,304,Time: ,2015-05-12 13:39:21.727
Client Num:, 35, X: ,362, Y: ,625,Time: ,2015-05-12 13:39:21.827
Client Num:, 35, X: ,326, Y: ,613,Time: ,2015-05-12 13:39:21.926
Client Num:, 35, X: ,522, Y: ,489,Time: ,2015-05-12 13:39:22.026
Client Num:, 35, X: ,974, Y: ,327,Time: ,2015-05-12 13:39:22.126
Client Num:, 35, X: ,1089, Y: ,341,Time: ,2015-05-12 13:39:22.226
Client Num:, 35, X: ,843, Y: ,331,Time: ,2015-05-12 13:39:22.326
Client Num:, 35, X: ,3007, Y: ,593,Time: ,2015-05-12 13:39:22.560
Client Num:, 35, X: ,367, Y: ,594,Time: ,2015-05-12 13:39:22.659
Client Num:, 35, X: ,327, Y: ,602,Time: ,2015-05-12 13:39:22.760
Client Num:, 35, X: ,334, Y: ,590,Time: ,2015-05-12 13:39:22.859
Client Num:, 35, X: ,350, Y: ,270,Time: ,2015-05-12 13:39:22.959
Client Num:, 35, X: ,332, Y: ,249,Time: ,2015-05-12 13:39:23.058
Client Num:, 35, X: ,186, Y: ,136,Time: ,2015-05-12 13:39:23.159
Client Num:, 35, X: ,157, Y: ,113,Time: ,2015-05-12 13:39:23.259
Client Num:, 35, X: ,94, Y: ,155,Time: ,2015-05-12 13:39:23.358
Client Num:, 35, X: ,79, Y: ,72,Time: ,2015-05-12 13:39:23.458
Client Num:, 35, X: ,335, Y: ,94,Time: ,2015-05-12 13:39:23.559
