Test at 5/12/2015 2:04:20 PM,
Client Num:, 37, X: ,-12, Y: ,263,Time: ,2015-05-12 14:36:57.932
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:36:57.932
Client Num:, 37, X: ,-14, Y: ,261,Time: ,2015-05-12 14:36:58.164
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:36:58.164
Client Num:, 37, X: ,94, Y: ,119,Time: ,2015-05-12 14:36:58.364
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:36:58.364
Client Num:, 37, X: ,93, Y: ,109,Time: ,2015-05-12 14:36:58.541
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:36:58.541
Client Num:, 37, X: ,172, Y: ,90,Time: ,2015-05-12 14:36:58.734
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:36:58.734
Client Num:, 37, X: ,222, Y: ,83,Time: ,2015-05-12 14:36:58.931
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:36:58.931
Client Num:, 37, X: ,242, Y: ,75,Time: ,2015-05-12 14:36:59.099
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:36:59.099
Client Num:, 37, X: ,553, Y: ,45,Time: ,2015-05-12 14:36:59.297
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:36:59.297
Client Num:, 37, X: ,681, Y: ,56,Time: ,2015-05-12 14:36:59.464
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:36:59.464
Client Num:, 37, X: ,783, Y: ,46,Time: ,2015-05-12 14:36:59.630
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:36:59.630
Client Num:, 37, X: ,784, Y: ,59,Time: ,2015-05-12 14:36:59.796
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:36:59.796
Client Num:, 37, X: ,1012, Y: ,44,Time: ,2015-05-12 14:37:00.030
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:00.030
Client Num:, 37, X: ,1174, Y: ,30,Time: ,2015-05-12 14:37:00.196
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:00.196
Client Num:, 37, X: ,1283, Y: ,26,Time: ,2015-05-12 14:37:00.362
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:00.362
Client Num:, 37, X: ,1280, Y: ,40,Time: ,2015-05-12 14:37:00.530
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:00.530
Client Num:, 37, X: ,1286, Y: ,33,Time: ,2015-05-12 14:37:00.698
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:00.698
Client Num:, 37, X: ,1286, Y: ,35,Time: ,2015-05-12 14:37:00.863
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:00.863
Client Num:, 37, X: ,1283, Y: ,58,Time: ,2015-05-12 14:37:01.030
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:01.030
Client Num:, 37, X: ,1276, Y: ,78,Time: ,2015-05-12 14:37:01.195
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:01.195
Client Num:, 37, X: ,1272, Y: ,80,Time: ,2015-05-12 14:37:01.363
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:01.363
Client Num:, 37, X: ,1270, Y: ,85,Time: ,2015-05-12 14:37:01.562
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:01.562
Client Num:, 37, X: ,1268, Y: ,96,Time: ,2015-05-12 14:37:01.694
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:01.694
Client Num:, 37, X: ,1267, Y: ,103,Time: ,2015-05-12 14:37:01.832
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:01.832
Client Num:, 37, X: ,1268, Y: ,110,Time: ,2015-05-12 14:37:02.029
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:02.029
Client Num:, 37, X: ,1268, Y: ,115,Time: ,2015-05-12 14:37:02.163
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:02.163
Client Num:, 37, X: ,401, Y: ,125,Time: ,2015-05-12 14:37:02.361
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:02.361
Client Num:, 37, X: ,325, Y: ,100,Time: ,2015-05-12 14:37:02.528
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:02.528
Client Num:, 37, X: ,200, Y: ,61,Time: ,2015-05-12 14:37:02.699
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:02.699
Client Num:, 37, X: ,204, Y: ,23,Time: ,2015-05-12 14:37:02.895
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:02.895
Client Num:, 37, X: ,588, Y: ,798,Time: ,2015-05-12 14:37:03.063
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:03.063
Client Num:, 37, X: ,596, Y: ,787,Time: ,2015-05-12 14:37:03.262
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:03.262
Client Num:, 37, X: ,1155, Y: ,766,Time: ,2015-05-12 14:37:03.461
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:03.461
Client Num:, 37, X: ,1136, Y: ,774,Time: ,2015-05-12 14:37:03.629
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:03.629
Client Num:, 37, X: ,1123, Y: ,792,Time: ,2015-05-12 14:37:03.795
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:03.795
Client Num:, 37, X: ,511, Y: ,801,Time: ,2015-05-12 14:37:03.961
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:03.961
Client Num:, 37, X: ,495, Y: ,801,Time: ,2015-05-12 14:37:04.096
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:04.096
Client Num:, 37, X: ,419, Y: ,815,Time: ,2015-05-12 14:37:04.327
