Subject Pair,Condition Order,Image Set Order,Condition 1,Condition 2,Condition 3
SP1,CGR,312,Collocated ,Gaze,No Gaze
SP2,RCG,123,No Gaze,Collocated,Gaze
SP3,RGC,123,No Gaze,Gaze,Collocated
SP4,RGC,312,No Gaze,Gaze,Collocated
SP5,GRC,231,Gaze,No Gaze,Collocated
SP6,CRG,123,Collocated ,No Gaze,Gaze
SP7,CGR,231,Collocated ,Gaze,No Gaze
SP8,CRG,231,Collocated ,No Gaze,Gaze
SP9,GCR,123,Gaze,Collocated,No Gaze
SP10,GCR,312,Gaze,Collocated,No Gaze
SP11,GRC,312,Gaze,No Gaze,Collocated
SP12,CGR,123,Collocated ,Gaze,No Gaze
SP13,GRC,123,Gaze,No Gaze,Collocated
SP14,RGC,231,No Gaze,Gaze,Collocated
SP15,RCG,231,No Gaze,Collocated,Gaze
SP16,GCR,231,Gaze,Collocated,No Gaze
SP17,RCG,312,No Gaze,Collocated,Gaze
SP18,CRG,312,Collocated ,No Gaze,Gaze
