Subject Pair ID,Pair ID,Participant ID,Condition,Condition Order,Trial,Difficulty,Image Set,Image Number,Image ID,Time,Score,Gender Pair,Ethnicity,Age,Gender,English,Spatial Score,Gaze Accuracy,Pronouns
SP7S1,SP7,S1,Colocated,1,1,Easy,2,0,5,2:11.1,-80,FF,3,2,F,Y,,,
SP7S2,SP7,S2,Colocated,1,1,Easy,2,0,5,2:11.1,-80,FF,3,2,F,Y,,,
SP7S1,SP7,S1,Colocated,1,2,Easy,2,1,6,1:07.7,160,FF,3,2,F,Y,,,
SP7S2,SP7,S2,Colocated,1,2,Easy,2,1,6,1:07.7,160,FF,3,2,F,Y,,,
SP7S1,SP7,S1,Colocated,1,3,Hard,2,2,7,3:15.5,-680,FF,3,2,F,Y,,,
SP7S2,SP7,S2,Colocated,1,3,Hard,2,2,7,3:15.5,-680,FF,3,2,F,Y,,,
SP7S1,SP7,S1,Colocated,1,4,Hard,2,3,8,1:54.9,10,FF,3,2,F,Y,,,
SP7S2,SP7,S2,Colocated,1,4,Hard,2,3,8,1:54.9,10,FF,3,2,F,Y,,,
SP7S1,SP7,S1,Gaze,2,5,Easy,3,0,9,2:50.3,-160,FF,3,2,F,Y,,,
SP7S2,SP7,S2,Gaze,2,5,Easy,3,0,9,2:50.3,-160,FF,3,2,F,Y,,,
SP7S1,SP7,S1,Gaze,2,6,Easy,3,1,10,2:12.1,-180,FF,3,2,F,Y,,,
SP7S2,SP7,S2,Gaze,2,6,Easy,3,1,10,2:12.1,-180,FF,3,2,F,Y,,,
SP7S1,SP7,S1,Gaze,2,7,Hard,3,2,11,3:44.0,-430,FF,3,2,F,Y,,,
SP7S2,SP7,S2,Gaze,2,7,Hard,3,2,11,3:44.0,-430,FF,3,2,F,Y,,,
SP7S1,SP7,S1,Gaze,2,8,Hard,3,3,12,2:13.4,-230,FF,3,2,F,Y,,,
SP7S2,SP7,S2,Gaze,2,8,Hard,3,3,12,2:13.4,-230,FF,3,2,F,Y,,,
SP7S1,SP7,S1,No Gaze,3,9,Easy,1,0,1,1:27.3,0,FF,3,2,F,Y,,,
SP7S2,SP7,S2,No Gaze,3,9,Easy,1,0,1,1:27.3,0,FF,3,2,F,Y,,,
SP7S1,SP7,S1,No Gaze,3,10,Easy,1,1,2,1:05.8,40,FF,3,2,F,Y,,,
SP7S2,SP7,S2,No Gaze,3,10,Easy,1,1,2,1:05.8,40,FF,3,2,F,Y,,,
SP7S1,SP7,S1,No Gaze,3,11,Hard,1,2,3,3:32.9,-560,FF,3,2,F,Y,,,
SP7S2,SP7,S2,No Gaze,3,11,Hard,1,2,3,3:32.9,-560,FF,3,2,F,Y,,,
SP7S1,SP7,S1,No Gaze,3,12,Hard,1,3,4,4:17.6,-600,FF,3,2,F,Y,,,
SP7S2,SP7,S2,No Gaze,3,12,Hard,1,3,4,4:17.6,-600,FF,3,2,F,Y,,,
