Test at 4/9/2015 4:00:04 PM,

Client Num:, 10000, X: ,50, Y: ,336,Time: ,2015-04-09 16:01:27.819
Client Num:, 10000, X: ,47, Y: ,338,Time: ,2015-04-09 16:01:27.919
Client Num:, 10000, X: ,47, Y: ,336,Time: ,2015-04-09 16:01:28.018
Client Num:, 10000, X: ,51, Y: ,339,Time: ,2015-04-09 16:01:28.118
Client Num:, 10000, X: ,180, Y: ,553,Time: ,2015-04-09 16:01:28.218
Client Num:, 10000, X: ,184, Y: ,563,Time: ,2015-04-09 16:01:28.318
Client Num:, 10000, X: ,191, Y: ,558,Time: ,2015-04-09 16:01:28.418
Client Num:, 10000, X: ,195, Y: ,556,Time: ,2015-04-09 16:01:28.518
Client Num:, 10000, X: ,198, Y: ,553,Time: ,2015-04-09 16:01:28.618
Client Num:, 10000, X: ,200, Y: ,551,Time: ,2015-04-09 16:01:28.718
Client Num:, 10000, X: ,189, Y: ,547,Time: ,2015-04-09 16:01:28.818
Client Num:, 10000, X: ,178, Y: ,541,Time: ,2015-04-09 16:01:28.918
Client Num:, 10000, X: ,177, Y: ,541,Time: ,2015-04-09 16:01:29.017
Client Num:, 10000, X: ,181, Y: ,539,Time: ,2015-04-09 16:01:29.117
Client Num:, 10000, X: ,184, Y: ,537,Time: ,2015-04-09 16:01:29.217
Client Num:, 10000, X: ,189, Y: ,535,Time: ,2015-04-09 16:01:29.318
Client Num:, 10000, X: ,190, Y: ,537,Time: ,2015-04-09 16:01:29.417
Client Num:, 10000, X: ,191, Y: ,541,Time: ,2015-04-09 16:01:29.517
Client Num:, 10000, X: ,193, Y: ,544,Time: ,2015-04-09 16:01:29.617
Client Num:, 10000, X: ,195, Y: ,551,Time: ,2015-04-09 16:01:29.717
Client Num:, 10000, X: ,201, Y: ,557,Time: ,2015-04-09 16:01:29.818
Client Num:, 10000, X: ,206, Y: ,562,Time: ,2015-04-09 16:01:29.917
Client Num:, 10000, X: ,212, Y: ,561,Time: ,2015-04-09 16:01:30.017
Client Num:, 10000, X: ,214, Y: ,563,Time: ,2015-04-09 16:01:30.117
Client Num:, 10000, X: ,213, Y: ,568,Time: ,2015-04-09 16:01:30.217
Client Num:, 10000, X: ,212, Y: ,571,Time: ,2015-04-09 16:01:30.317
Client Num:, 10000, X: ,211, Y: ,573,Time: ,2015-04-09 16:01:30.417
Client Num:, 10000, X: ,210, Y: ,582,Time: ,2015-04-09 16:01:30.517
Client Num:, 10000, X: ,212, Y: ,585,Time: ,2015-04-09 16:01:30.617
Client Num:, 10000, X: ,219, Y: ,591,Time: ,2015-04-09 16:01:30.717
