Subject Pair ID,Subject Pair,Subject ID,Gender Pair,Gender,Age,Race/Ethnicity,Native
SP1S1,SP1,S1,FF,F,2,3,YES
SP1S2,SP1,S2,FF,F,2,3,YES
SP2S1,SP2,S1,FM,F,2,2,NO
SP2S2,SP2,S2,FM,M,2,4,NO
SP3S1,SP3,S1,FF,F,2,2,YES
SP3S2,SP3,S2,FF,F,2,3,YES
SP4S1,SP4,S1,FM,M,2,2,YES
SP4S2,SP4,S2,FM,F,3,3,YES
SP5S1,SP5,S1,FF,F,3,2,YES
SP5S2,SP5,S2,FF,F,2,3,YES
SP6S1,SP6,S1,FF,F,3,3,YES
SP6S2,SP6,S2,FF,F,2,5,YES
SP7S1,SP7,S1,FF,F,2,3,YES
SP7S2,SP7,S2,FF,F,2,3,YES
SP8S1,SP8,S1,,,,,
SP8S2,SP8,S2,,,,,
SP9S1,SP9,S1,,,,,
SP9S2,SP9,S2,,,,,
SP10S1,SP10,S1,,,,,
SP10S2,SP10,S2,,,,,
SP11S1,SP11,S1,,,,,
SP11S2,SP11,S2,,,,,
SP12S1,SP12,S1,,,,,
SP12S2,SP12,S2,,,,,
SP13S1,SP13,S1,,,,,
SP13S2,SP13,S2,,,,,
SP14S1,SP14,S1,,,,,
SP14S2,SP14,S2,,,,,
SP15S1,SP15,S1,,,,,
SP15S2,SP15,S2,,,,,
SP16S1,SP16,S1,,,,,
SP16S2,SP16,S2,,,,,
SP17S1,SP17,S1,,,,,
SP17S2,SP17,S2,,,,,
SP18S1,SP18,S1,,,,,
SP18S2,SP18,S2,,,,,
